2025-04-01 09:52:53,104 - INFO - System Monitor: Starting system monitoring...
2025-04-01 09:52:53,112 - INFO - CPU: Usage: 0.0%
2025-04-01 09:52:53,112 - INFO - Memory: Usage: 52.6%
2025-04-01 09:52:53,177 - INFO - System Info: Hostname: SunNi
2025-04-01 09:52:53,654 - INFO - Software: PID: 4112, Name: svchost.exe, Username: None
2025-04-01 09:52:53,662 - INFO - Software: PID: 4120, Name: svchost.exe, Username: None
2025-04-01 09:52:53,678 - INFO - Software: PID: 4128, Name: svchost.exe, Username: None
2025-04-01 09:52:53,687 - INFO - Software: PID: 4224, Name: svchost.exe, Username: None
2025-04-01 09:52:53,695 - INFO - Software: PID: 4232, Name: svchost.exe, Username: None
2025-04-01 09:52:53,710 - INFO - Software: PID: 4272, Name: MemCompression, Username: None
2025-04-01 09:52:53,718 - INFO - Software: PID: 4404, Name: svchost.exe, Username: None
2025-04-01 09:52:53,718 - INFO - Software: PID: 4412, Name: Code.exe, Username: SUNNI\thanh
2025-04-01 09:52:53,734 - INFO - Software: PID: 4448, Name: svchost.exe, Username: None
2025-04-01 09:52:53,744 - INFO - Software: PID: 4456, Name: svchost.exe, Username: None
2025-04-01 09:52:53,744 - INFO - Software: PID: 4484, Name: msedgewebview2.exe, Username: SUNNI\thanh
2025-04-01 09:52:53,744 - INFO - Software: PID: 4516, Name: RuntimeBroker.exe, Username: SUNNI\thanh
2025-04-01 09:52:53,744 - INFO - Software: PID: 4536, Name: RuntimeBroker.exe, Username: SUNNI\thanh
2025-04-01 09:52:53,757 - INFO - Software: PID: 4548, Name: svchost.exe, Username: None
2025-04-01 09:52:53,758 - INFO - Software: PID: 4556, Name: svchost.exe, Username: None
2025-04-01 09:52:53,773 - INFO - Software: PID: 4792, Name: svchost.exe, Username: None
2025-04-01 09:52:53,774 - INFO - Software: PID: 4820, Name: svchost.exe, Username: SUNNI\thanh
2025-04-01 09:52:53,782 - INFO - Software: PID: 4844, Name: svchost.exe, Username: None
2025-04-01 09:52:53,788 - INFO - Software: PID: 4904, Name: spoolsv.exe, Username: None
2025-04-01 09:52:53,799 - INFO - Software: PID: 4916, Name: svchost.exe, Username: None
2025-04-01 09:52:53,809 - INFO - Software: PID: 5004, Name: svchost.exe, Username: None
2025-04-01 09:52:53,816 - INFO - Software: PID: 5064, Name: svchost.exe, Username: None
2025-04-01 09:52:53,828 - INFO - Software: PID: 5156, Name: wlanext.exe, Username: None
2025-04-01 09:52:53,833 - INFO - Software: PID: 5164, Name: conhost.exe, Username: None
2025-04-01 09:52:53,842 - INFO - Software: PID: 5348, Name: svchost.exe, Username: None
2025-04-01 09:52:53,857 - INFO - Software: PID: 5360, Name: svchost.exe, Username: None
2025-04-01 09:52:53,865 - INFO - Software: PID: 5368, Name: AdguardSvc.exe, Username: None
2025-04-01 09:52:53,873 - INFO - Software: PID: 5384, Name: mDNSResponder.exe, Username: None
2025-04-01 09:52:53,884 - INFO - Software: PID: 5392, Name: ACCSvc.exe, Username: None
2025-04-01 09:52:53,893 - INFO - Software: PID: 5400, Name: svchost.exe, Username: None
2025-04-01 09:52:53,900 - INFO - Software: PID: 5408, Name: DtsApo4Service.exe, Username: None
2025-04-01 09:52:53,911 - INFO - Software: PID: 5416, Name: AppleMobileDeviceService.exe, Username: None
2025-04-01 09:52:53,920 - INFO - Software: PID: 5424, Name: svchost.exe, Username: None
2025-04-01 09:52:53,922 - INFO - Software: PID: 5432, Name: svchost.exe, Username: None
2025-04-01 09:52:53,939 - INFO - Software: PID: 5440, Name: armsvc.exe, Username: None
2025-04-01 09:52:53,947 - INFO - Software: PID: 5448, Name: svchost.exe, Username: None
2025-04-01 09:52:53,956 - INFO - Software: PID: 5476, Name: KillerAnalyticsService.exe, Username: None
2025-04-01 09:52:53,957 - INFO - Software: PID: 5488, Name: opera.exe, Username: SUNNI\thanh
2025-04-01 09:52:53,965 - INFO - Software: PID: 5508, Name: warp-svc.exe, Username: None
2025-04-01 09:52:53,973 - INFO - Software: PID: 5548, Name: ldremoteservice.exe, Username: None
2025-04-01 09:52:53,980 - INFO - Software: PID: 5564, Name: OfficeClickToRun.exe, Username: None
2025-04-01 09:52:53,989 - INFO - Software: PID: 5592, Name: WsidService.exe, Username: None
2025-04-01 09:52:54,012 - INFO - Software: PID: 5652, Name: servicehost.exe, Username: None
2025-04-01 09:52:54,012 - INFO - Software: PID: 5680, Name: RuntimeBroker.exe, Username: SUNNI\thanh
2025-04-01 09:52:54,012 - INFO - Software: PID: 5708, Name: Zalo.exe, Username: SUNNI\thanh
2025-04-01 09:52:54,022 - INFO - Software: PID: 5748, Name: RtkAudUService64.exe, Username: None
2025-04-01 09:52:54,037 - INFO - Software: PID: 5756, Name: spacedeskService.exe, Username: None
2025-04-01 09:52:54,045 - INFO - Software: PID: 5768, Name: sqlwriter.exe, Username: None
2025-04-01 09:52:54,053 - INFO - Software: PID: 5776, Name: svchost.exe, Username: None
2025-04-01 09:52:54,061 - INFO - Software: PID: 5800, Name: nvcontainer.exe, Username: None
2025-04-01 09:52:54,069 - INFO - Software: PID: 5852, Name: svchost.exe, Username: None
2025-04-01 09:52:54,069 - INFO - Software: PID: 5912, Name: Zalo.exe, Username: SUNNI\thanh
2025-04-01 09:52:54,085 - INFO - Software: PID: 5928, Name: svchost.exe, Username: None
2025-04-01 09:52:54,093 - INFO - Software: PID: 5956, Name: svchost.exe, Username: None
2025-04-01 09:52:54,103 - INFO - Software: PID: 5988, Name: wslservice.exe, Username: None
2025-04-01 09:52:54,103 - INFO - Software: PID: 6032, Name: Code.exe, Username: SUNNI\thanh
2025-04-01 09:52:54,109 - INFO - Software: PID: 6044, Name: KillerNetworkService.exe, Username: None
2025-04-01 09:52:54,117 - INFO - Software: PID: 6084, Name: ONENOTEM.EXE, Username: SUNNI\thanh
2025-04-01 09:52:54,117 - INFO - Software: PID: 6108, Name: PSAgent.exe, Username: SUNNI\thanh
2025-04-01 09:52:54,126 - INFO - Software: PID: 6156, Name: logi_lamparray_service.exe, Username: None
2025-04-01 09:52:54,126 - INFO - Software: PID: 6180, Name: Code.exe, Username: SUNNI\thanh
2025-04-01 09:52:54,134 - INFO - Software: PID: 6448, Name: svchost.exe, Username: None
2025-04-01 09:52:54,134 - INFO - Software: PID: 6684, Name: Zalo.exe, Username: SUNNI\thanh
2025-04-01 09:52:54,150 - INFO - Software: PID: 6792, Name: gamingservices.exe, Username: None
2025-04-01 09:52:54,158 - INFO - Software: PID: 6864, Name: gamingservicesnet.exe, Username: None
2025-04-01 09:52:54,158 - INFO - Software: PID: 7100, Name: ZaloCall.exe, Username: SUNNI\thanh
2025-04-01 09:52:54,166 - INFO - Software: PID: 7196, Name: UBTService.exe, Username: None
2025-04-01 09:52:54,174 - INFO - Software: PID: 7404, Name: msedge.exe, Username: SUNNI\thanh
2025-04-01 09:52:54,174 - INFO - Software: PID: 7544, Name: conhost.exe, Username: SUNNI\thanh
2025-04-01 09:52:54,182 - INFO - Software: PID: 7688, Name: xTendUtilityService.exe, Username: None
2025-04-01 09:52:54,190 - INFO - Software: PID: 7760, Name: svchost.exe, Username: None
2025-04-01 09:52:54,196 - INFO - Software: PID: 7928, Name: spacedeskServiceTray.exe, Username: SUNNI\thanh
2025-04-01 09:52:54,196 - INFO - Software: PID: 8096, Name: opera.exe, Username: SUNNI\thanh
2025-04-01 09:52:54,207 - INFO - Software: PID: 8520, Name: xTendUtility.exe, Username: None
2025-04-01 09:52:54,221 - INFO - Software: PID: 8552, Name: conhost.exe, Username: None
2025-04-01 09:52:54,223 - INFO - Software: PID: 8584, Name: RuntimeBroker.exe, Username: SUNNI\thanh
2025-04-01 09:52:54,231 - INFO - Software: PID: 8704, Name: svchost.exe, Username: None
2025-04-01 09:52:54,231 - INFO - Software: PID: 8756, Name: opera.exe, Username: SUNNI\thanh
2025-04-01 09:52:54,244 - INFO - Software: PID: 9000, Name: svchost.exe, Username: None
2025-04-01 09:52:54,250 - INFO - Software: PID: 9180, Name: AggregatorHost.exe, Username: None
2025-04-01 09:52:54,256 - INFO - Software: PID: 9228, Name: msedge.exe, Username: SUNNI\thanh
2025-04-01 09:52:54,256 - INFO - Software: PID: 9256, Name: uihost.exe, Username: SUNNI\thanh
2025-04-01 09:52:54,273 - INFO - Software: PID: 9348, Name: SecurityHealthService.exe, Username: None
2025-04-01 09:52:54,273 - INFO - Software: PID: 9476, Name: MLWapp.exe, Username: SUNNI\thanh
2025-04-01 09:52:54,273 - INFO - Software: PID: 9484, Name: opera.exe, Username: SUNNI\thanh
2025-04-01 09:52:54,273 - INFO - Software: PID: 9496, Name: Acrobat.exe, Username: SUNNI\thanh
2025-04-01 09:52:54,273 - INFO - Software: PID: 9600, Name: LiveUpdateChecker.exe, Username: SUNNI\thanh
2025-04-01 09:52:54,289 - INFO - Software: PID: 9740, Name: svchost.exe, Username: None
2025-04-01 09:52:54,298 - INFO - Software: PID: 10056, Name: Postman.exe, Username: SUNNI\thanh
